Altium Designer Pick and Place Locations
W:\Coord\2022-04-20\ac95c0f967c2c5464da23f69a92b3e9f\Pick Place for iono_bottom_pico.csv

========================================================================================================================
File Design Information:

Date:       20/04/22
Time:       16:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"M2","THHole-Param","TopLayer","MTG300_600","Plated Through Hole: Hole Dia.=3.0mm Pad Dia.=6.0mm","26.1620","-43.6880","0","金属化可接地固定孔","Standard","11.7000","26.1620","-43.6880","26.1620","-43.6880","Fitted"
"M1","THHole-Param","TopLayer","MTG300_600","Plated Through Hole: Hole Dia.=3.0mm Pad Dia.=6.0mm","69.2150","-6.0960","0","金属化可接地固定孔","Standard","11.7000","69.2150","-6.0960","69.2150","-6.0960","Fitted"
"U3","SY6280AAAC","TopLayer","SOT-23-5","","15.8750","-6.9850","360","USB电子开关，电流保护","Standard","0.0000","15.8750","-6.9850","14.6200","-6.0350","Fitted"
"U2","MCP607T-I/SN","TopLayer","D0008A_L","SOIC, 8-Leads, Body 5x4mm, Pitch 1.27mm, IPC High Density","29.2950","-21.2090","90","Dual Operational Amplifier, 3 to 32 V, 0 to 70 degC, 8-Pin SOIC (D), Green (RoHS & no Sb/Br), Tape and Reel","Standard","1.7500","29.2950","-21.2090","31.9200","-23.1140","Fitted"
"U1","TPS5430DDA","TopLayer","DDA0008J_L","SOP, 8-Leads, Body 5x4mm, Pitch 1.27mm, Thermal Pad 3.2x2.69mm, IPC High Wizard","38.2270","-33.1470","90","5.5V to 36V Input, 3A, 500kHz Step-Down Converter 8-SO PowerPAD 0 to 0","Standard","1.7000","38.2270","-33.1470","40.8520","-35.0520","Fitted"
"R35","4K7  ±1%","TopLayer","0402_R","","63.2020","-37.2110","360","贴片电阻","Standard","0.0000","63.2020","-37.2110","62.7770","-37.2110","Fitted"
"R34","4K7  ±1%","TopLayer","0402_R","","62.9090","-27.4320","360","贴片电阻","Standard","0.0000","62.9090","-27.4320","62.4840","-27.4320","Fitted"
"R33","4K7  ±1%","TopLayer","0402_R","","63.2020","-35.6870","360","贴片电阻","Standard","0.0000","63.2020","-35.6870","62.7770","-35.6870","Fitted"
"R32","4K7  ±1%","TopLayer","0402_R","","62.8650","-25.9080","360","贴片电阻","Standard","0.0000","62.8650","-25.9080","62.4400","-25.9080","Fitted"
"R31","3K3 ±1%","TopLayer","0402_R","","12.2510","-17.2460","360","贴片电阻","Standard","0.0000","12.2510","-17.2460","11.8260","-17.2460","Fitted"
"R30","1K ±1%","TopLayer","0402_R","","12.2510","-18.7960","360","贴片电阻","Standard","0.0000","12.2510","-18.7960","11.8260","-18.7960","Fitted"
"R29","1K ±1%","TopLayer","0402_R","","11.9970","-26.5830","360","贴片电阻","Standard","0.0000","11.9970","-26.5830","11.5720","-26.5830","Fitted"
"R28","3K3 ±1%","TopLayer","0402_R","","11.9970","-28.1940","360","贴片电阻","Standard","0.0000","11.9970","-28.1940","11.5720","-28.1940","Fitted"
"R27","4K7  ±1%","TopLayer","0402_R","","62.8650","-18.2880","360","贴片电阻","Standard","0.0000","62.8650","-18.2880","62.4400","-18.2880","Fitted"
"R26","4K7  ±1%","TopLayer","0402_R","","62.0590","-8.6360","360","贴片电阻","Standard","0.0000","62.0590","-8.6360","61.6340","-8.6360","Fitted"
"R25","4K7  ±1%","TopLayer","0402_R","","62.8650","-16.7640","360","贴片电阻","Standard","0.0000","62.8650","-16.7640","62.4400","-16.7640","Fitted"
"R24","4K7  ±1%","TopLayer","0402_R","","62.0590","-7.1120","360","贴片电阻","Standard","0.0000","62.0590","-7.1120","61.6340","-7.1120","Fitted"
"R23","120R ±1%","TopLayer","RS_1/4W-V3","直插色环电阻，脚距3mm，直径2.3mm","18.6930","-21.2090","180","贴片电阻","Standard","0.0000","20.1930","-21.2090","20.1930","-21.2090","Fitted"
"R22","47K ±1%","TopLayer","0402_R","","34.1630","-22.5620","90","贴片电阻","Standard","0.0000","34.1630","-22.5620","34.1630","-22.9870","Fitted"
"R21","6K8 ±1%","TopLayer","0402_R","","14.9860","-9.6520","180","贴片电阻","Standard","0.0000","14.9860","-9.6520","15.4110","-9.6520","Fitted"
"R20","10K ±1%","TopLayer","0402_R","","34.1630","-20.0220","90","贴片电阻","Standard","0.0000","34.1630","-20.0220","34.1630","-20.4470","Fitted"
"R19","4K7  ±1%","TopLayer","0402_R","","44.1960","-11.6840","90","贴片电阻","Standard","0.0000","44.1960","-11.6840","44.1960","-12.1090","Fitted"
"R18","47K ±1%","TopLayer","0402_R","","17.8630","-23.2410","180","贴片电阻","Standard","0.0000","17.8630","-23.2410","18.2880","-23.2410","Fitted"
"R17","2K2±1%","TopLayer","0402_R","","35.8140","-20.0220","90","贴片电阻","Standard","0.0000","35.8140","-20.0220","35.8140","-20.4470","Fitted"
"R16","1K8 ±1%","TopLayer","0402_R","","19.5580","-24.8920","180","贴片电阻","Standard","0.0000","19.5580","-24.8920","19.9830","-24.8920","Fitted"
"R15","47K ±1%","TopLayer","0402_R","","17.0180","-24.8920","180","贴片电阻","Standard","0.0000","17.0180","-24.8920","17.4430","-24.8920","Fitted"
