Comment,Description,Designator,Footprint,LibRef,Quantity

"100nF (104) 10% 50V","贴片电容","C1, C2, C3, C4, C5, C6, C7, C8, C10, C12, C15, C16, C17, C27, C29, C31, C32, C33, C34, C37, C38, C39, C40, C41, C42, C43, C44, C45","0402_C","0402 100nF (104) 10% 16V","28"
"10uF (106) 10% 25V","贴片电容","C9, C11, C21, C22","0603_C","0603 10uF (106) 10% 10V","4"
"15pF (100) 5% 16V","贴片电容","C13, C14","0402_C","0402 10pF (100) 5% 50V","2"
"2.2uF (100) 5% 10V","贴片电容","C18, C20, C28","0603_C","0603 10pF (100) 5% 50V","3"
"1nF/1kV","贴片电容","C19","0805_C","0603 1.5nF (152) 10% 50V","1"
"220pF 10% 50V","贴片电容","C23, C24, C25, C26, C35, C36","0402_C","0402 150pF (151) 10% 50V","6"
"10uF  25V","贴片电容","C30","0603_C","0603 10pF (100) 5% 50V","1"
"Micro USB 2.0","Micro USB 2.0 Type AB Receptacle WR-COM, Horizontal, SMT","CN1","USB-MICRO-A","Micro-USB2.0-2","1"
"RB751S40T1G","B230A-13-F,SCHOTTKY RECTIFIER","D1, D2, D3, D4","SOD-523","B230A-13-F","4"
"B340A-13-F","Transient Voltage Suppressor, 6.40 to 231 V, 16 V Stand-off Voltage, Uni-Directional, -55 to 155 degC, 2-pin DO-214AC, Pb-Free, Tape and Reel","D5","DO-214AC","SMAJ16A","1"
"SMBJ6.0CA","TVS,ESD二极管","D6, D7","DO-214AA","TBV05C","2"
"S1M","肖特基二极管","D8, D13","DO-214AC","B5817WS-TP","2"
"st7735","","D9","HX-2.54-F-1x8-V","st7735","1"
"BAT54S,215","肖特基二极管","D10, D11, D12, D14, D15, D16, D17","SOT-23-3","BAT54S,215","7"
"ESDU5V0H4","USB ESD保护","D18","SOT23-6","ESDU5V0H4","1"
"TLC-MSMD014","贴片保险，自恢复","F1, F2","1812_R","Fuse 2A 0805","2"
"BSMD0603-001-60V","贴片保险，自恢复","F3, F5","FU 0805","Fuse 2A 0805","2"
"JK-SMD1210-005","贴片保险，自恢复","F4, F6","1210_R","Fuse 2A 0805","2"
"HDR-1x3Pos","2.54mm 排针","J1","HDR-2.54-1x3-V","HDR-1x3Pos","1"
"HDR-1x8Pos","2.54mm 排针","J2, J3","Pin Header 1x8 TH Pitch 2.54mm","HDR-1x8Pos","2"
"HDR-S-1x3Pos","2.54mm 排座","J4, J5","HX-2.54-F-1x3-V","HDR-S-1x3Pos","2"
"HDR-S-1x2Pos","2.54mm 排座","J6, J8, J9","Pin Header 1x2 TH Pitch 2.54mm","HDR-S-1x2Pos","3"
"HDR-S-1x12Pos","2.54mm 排座","J7","KF2EDGK-2.54-WI-12P","HDR-S-1x12Pos","1"
"Red","贴片LED","LD1, LD2, LD4","0603_LED","LED","3"
"Blue","贴片LED","LD3","0603_LED","LED","1"
"THHole-Param","金属化可接地固定孔","M1, M2","MTG300_600","MHole-1","2"
"61300411021","2.54mm 排针","P1","HDR-2.54-1x4-H","HDR-1x4Pos","1"
"BSS123","Trans Mosfet N-ch 60V 0.115A 3-PIN SOT-23 T/r","Q1, Q3, Q4, Q5, Q6","SOT95P245X110-3N","2N7002","5"
"PMV48XP","MOSFET P-CH -20 V -3.5 A","Q2","SOT-23-3","PMV48XP","1"
"330R ±1%","贴片电阻","R1","0402_R","0402 1.2KΩ (1201) 1%","1"
"1K ±1%","贴片电阻","R2, R12, R50, R63, R64","0402_R","0402 1.2KΩ (1201) 1%","5"
"10K ±1%","贴片电阻","R3, R9, R11, R13, R16, R18, R26, R28, R32, R40","0402_R","0402 1.2KΩ (1201) 1%, 0402 100KΩ (1003) 1%","10"
"1M ±1%","贴片电阻","R4","0805_R","0402 1.2KΩ (1201) 1%","1"
"15K ±1%","贴片电阻","R5, R68","0402_R","0402 1.2KΩ (1201) 1%","2"
"47K ±1%","贴片电阻","R6, R23, R27, R29, R36, R39, R41","0402_R","0402 1.2KΩ (1201) 1%","7"
"27R ±1%","贴片电阻","R7, R8","0402_R","0402 1.2KΩ (1201) 1%","2"
"4K7 ±1%","贴片电阻","R10, R43, R45, R47, R57","0402_R","0402 100KΩ (1003) 1%, 0402 1.2KΩ (1201) 1%","5"
"1K2 ±1%","贴片电阻","R14, R15","0402_R","0402 100KΩ (1003) 1%","2"
"220R ±1%","贴片电阻","R17, R20, R31, R33","0402_R","0402 1.2KΩ (1201) 1%","4"
"2K2±1%","贴片电阻","R19, R25, R38","0402_R","0402 1.2KΩ (1201) 1%","3"
"330K ±1%","贴片电阻","R21, R34","0402_R","0402 1.2KΩ (1201) 1%","2"
"45K3 ±1%","贴片电阻","R22, R35","0402_R","0402 1.2KΩ (1201) 1%","2"
"1K8 ±1%","贴片电阻","R24, R37","0402_R","0402 1.2KΩ (1201) 1%","2"
"120R ±1%","贴片电阻","R30, R42","RS 1/4W-V3","0402 1.2KΩ (1201) 1%","2"
"100K ±1%","贴片电阻","R44, R46","0402_R","0402 1.2KΩ (1201) 1%","2"
"2K2 ±1%","贴片电阻","R48, R49, R58, R59","0402_R","0402 1.2KΩ (1201) 1%","4"
"680K ±1%","贴片电阻","R51, R52","0402_R","0402 1.2KΩ (1201) 1%","2"
"3K3 ±1%","贴片电阻","R53, R65, R66","0402_R","0402 1.2KΩ (1201) 1%","3"
"100R ±1%","贴片电阻","R54","0603_R","0402 1.2KΩ (1201) 1%","1"
"330K ±1%","贴片电阻","R55","0603_R","0402 1.2KΩ (1201) 1%","1"
"680K ±1%","贴片电阻","R56","0603_R","0402 1.2KΩ (1201) 1%","1"
"620R ±1%","贴片电阻","R60, R62","0603_R","0402 1.2KΩ (1201) 1%","2"
"120R ±1%","贴片电阻","R61","0603_R","0402 1.2KΩ (1201) 1%","1"
"0R","贴片电阻","R67","1210_R","0402 1.2KΩ (1201) 1%","1"
"=Family","1 Ways SPST DIP Switch","SW1, SW2","KEY-SMD_L6.1-W3.7-LS8.0","SW 1x SPST DIP Switch","2"
"AMS1117-3.3","低压差线性稳压(LDO)","U1","SOT-223","AMS1117-3.3","1"
"LM4040BIM3-3.0/NOPB","电压基准，输出类型：固定 输出电压：3V 输出电流：15mA 精度：±0.1% 温度系数：100ppm/℃ 最小阴极电流调节：67μA 工作温度：-40℃~+85℃@(TA)","U2","SOT23","LM4040BIM3-3.0/NOPB","1"
"PICO","树莓派RP2040单片机","U3","RP2040","RP2040","1"
