Altium Designer Pick and Place Locations
W:\Coord\2022-04-17\6efd87fdda6d03d9c8d5e72de07afbfb\Pick Place for iono_pico.csv

========================================================================================================================
File Design Information:

Date:       17/04/22
Time:       18:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"U4","SY6280AAAC","TopLayer","SOT-23-5","","60.0710","-10.1600","360","USB电子开关，电流保护","Standard","0.0000","60.0710","-10.1600","58.8160","-9.2100","Fitted"
"R68","15K ±1%","TopLayer","0402_R","","58.8010","-12.8270","360","贴片电阻","Standard","0.0000","58.8010","-12.8270","58.3760","-12.8270","Fitted"
"R9","10K ±1%","TopLayer","0402_R","","63.2900","-5.3340","360","贴片电阻","Standard","0.0000","63.2900","-5.3340","62.8650","-5.3340","Fitted"
"R6","47K ±1%","TopLayer","0402_R","","63.2900","-3.6830","180","贴片电阻","Standard","0.0000","63.2900","-3.6830","63.7150","-3.6830","Fitted"
"Q2","PMV48XP","TopLayer","SOT-23-3","","55.8800","-11.5570","90","MOSFET P-CH -20 V -3.5 A","Standard","1.0000","55.8800","-11.5570","56.8300","-10.3820","Fitted"
"D18","ESDU5V0H4","TopLayer","SOT23-6","SOT-23/SC-74A; 5 Leads; Body 3.1 x 3 mm, inc. leads (LxW max)","64.1350","-10.2870","360","USB ESD保护","Standard","1.4500","64.1350","-10.2870","65.0850","-9.2120","Fitted"
"D5","B340A-13-F","TopLayer","DO-214AC","","52.1970","-10.9220","270","Transient Voltage Suppressor, 6.40 to 231 V, 16 V Stand-off Voltage, Uni-Directional, -55 to 155 degC, 2-pin DO-214AC, Pb-Free, Tape and Reel","Standard","5.6000","52.1970","-10.9220","52.1970","-8.9220","Fitted"
"CN1","Micro USB 2.0","TopLayer","USB-MICRO-A","","64.1050","-14.5970","360","Micro USB 2.0 Type AB Receptacle WR-COM, Horizontal, SMT","Standard","0.8000","64.1050","-14.5970","62.8050","-14.0970","Fitted"
"C22","10uF (106) 10% 25V","TopLayer","0603_C","","63.0000","-7.2390","180","贴片电容","Standard","0.0000","63.0000","-7.2390","63.7700","-7.2390","Fitted"
"C21","10uF (106) 10% 25V","TopLayer","0603_C","","59.1820","-7.3660","180","贴片电容","Standard","0.0000","59.1820","-7.3660","59.9520","-7.3660","Fitted"
"M2","THHole-Param","TopLayer","MTG300_600","Plated Through Hole: Hole Dia.=3.0mm Pad Dia.=6.0mm","26.1620","-43.6880","0","金属化可接地固定孔","Standard","11.7000","26.1620","-43.6880","26.1620","-43.6880","Fitted"
"M1","THHole-Param","TopLayer","MTG300_600","Plated Through Hole: Hole Dia.=3.0mm Pad Dia.=6.0mm","69.2150","-6.0960","0","金属化可接地固定孔","Standard","11.7000","69.2150","-6.0960","69.2150","-6.0960","Fitted"
"SW2","=Family","TopLayer","KEY-SMD_L6.1-W3.7-LS8.0","","83.1850","-39.2519","90","1 Ways SPST DIP Switch","Standard","0.0000","83.1850","-39.2519","83.1850","-43.4518","Fitted"
"SW1","=Family","TopLayer","KEY-SMD_L6.1-W3.7-LS8.0","","78.1050","-39.3375","90","1 Ways SPST DIP Switch","Standard","0.0000","78.1050","-39.3375","78.1050","-43.5374","Fitted"
"LD4","Red","TopLayer","0603_LED","","90.5510","-27.5590","360","贴片LED","Standard","0.0000","90.5510","-27.5590","91.3210","-27.5590","Fitted"
"LD3","Blue","TopLayer","0603_LED","","63.7540","-46.8630","270","贴片LED","Standard","0.0000","63.7540","-46.8630","63.7540","-47.6330","Fitted"
"LD2","Red","TopLayer","0603_LED","","69.0520","-46.9820","270","贴片LED","Standard","0.0000","69.0520","-46.9820","69.0520","-47.7520","Fitted"
"LD1","Red","TopLayer","0603_LED","","72.8980","-46.8630","270","贴片LED","Standard","0.0000","72.8980","-46.8630","72.8980","-47.6330","Fitted"
"Y1","12Mhz  50ppm","TopLayer","OSC_SI-TIME_SIT1602-2","","33.2741","-22.4790","270","贴片晶振 Crystal 4 pins 1=XTAL Control 2=GND3=XTAL 4=GND","Standard","0.0000","33.2740","-22.4790","32.3240","-21.3790","Fitted"
"U12","AT24C16","TopLayer","FP-SO8N-SO-A-IPC_A","","74.5490","-19.6881","0","IC EEPROM 2K I2C 400KHZ 8SO","Standard","0.0000","74.5490","-19.6881","72.6440","-22.1041","Fitted"
"U11","WT_MPU6050","TopLayer","WT_MPU6050","","88.9000","-16.2560","270","WT_MPU6050","Standard","0.0000","88.9000","-16.2560","95.2500","-8.6360","Fitted"
"U10","TSX561A","TopLayer","SOT-23-5","","21.8440","-12.1920","270","","Standard","0.0000","21.8440","-12.1920","22.7940","-10.9370","Fitted"
"U9","CH_BLE2U","TopLayer","CH_BLE2U","","89.6620","-38.3540","270","BLE模块","Standard","0.0000","89.0270","-38.3540","91.5670","-33.0540","Fitted"
"U8","MCP607T-I/SN","TopLayer","D0008A_L","SOIC, 8-Leads, Body 5x4mm, Pitch 1.27mm, IPC High Density","29.8450","-14.3510","360","Dual Operational Amplifier, 3 to 32 V, 0 to 70 degC, 8-Pin SOIC (D), Green (RoHS & no Sb/Br), Tape and Reel","Standard","1.7500","29.8450","-14.3510","27.9400","-16.9760","Fitted"
"U7","SN74AHC1G00DBVRG4","TopLayer","SOT-23-5","","39.8780","-37.8460","180","与非门","Standard","0.0000","39.8780","-37.8460","41.1330","-38.7960","Fitted"
"U6","SP485EN-L","TopLayer","SOIC8","SOIC, 8-Leads, Body 4.9x3.9mm, Pitch 1.27mm, IPC Low Density","24.8666","-25.3746","270","Enhanced Low Power Half-Duplex RS-485 Transceivers","Standard","1.7500","24.8920","-25.4000","26.7716","-22.6746","Fitted"
"U5","W25Q16JVUXIQ","TopLayer","W25Q16JVUXIQ_WIN","","82.1690","-29.7180","270","NOR快闪spiFlash, 3V, 16M-bit, 4Kb Uniform Sector, DTR, USON-8","Standard","2.1600","82.1690","-29.7180","82.9190","-28.2688","Fitted"
"U3","PICO","TopLayer","RP2040","Thin QFP, 100-Leads, Body 14x14mm, Pitch 0.5mm, IPC High Density","44.8310","-22.9870","270","树莓派RP2040单片机","Standard","1.2000","44.8310","-22.9870","47.4310","-19.5326","Fitted"
"U2","LM4040BIM3-3.0/NOPB","TopLayer","SOT23","SOT23, 3-Leads, ","57.8420","-33.2080","270","电压基准，输出类型：固定 输出电压：3V 输出电流：15mA 精度：±0.1% 温度系数：100ppm/℃ 最小阴极电流调节：67μA 工作温度：-40℃~+85℃@(TA)","Standard","1.1000","57.8420","-33.2080","56.6420","-32.2580","Fitted"
"U1","AMS1117-3.3","TopLayer","SOT-223","","38.6080","-11.8110","90","低压差线性稳压(LDO)","Standard","0.0000","38.6080","-11.8110","41.6080","-14.1110","Fitted"
"R67","0R","TopLayer","1210_R","","13.4620","-6.7310","180","贴片电阻","Standard","0.0000","13.4620","-6.7310","14.9370","-6.7310","Fitted"
"R66","3K3 ±1%","TopLayer","0402_R","","12.0500","-31.7500","360","贴片电阻","Standard","0.0000","12.0500","-31.7500","11.6250","-31.7500","Fitted"
"R65","3K3 ±1%","TopLayer","0402_R","","12.1240","-22.3520","360","贴片电阻","Standard","0.0000","12.1240","-22.3520","11.6990","-22.3520","Fitted"
"R64","1K ±1%","TopLayer","0402_R","","12.1240","-20.7010","360","贴片电阻","Standard","0.0000","12.1240","-20.7010","11.6990","-20.7010","Fitted"
"R63","1K ±1%","TopLayer","0402_R","","12.0500","-30.0550","360","贴片电阻","Standard","0.0000","12.0500","-30.0550","11.6250","-30.0550","Fitted"
"R62","620R ±1%","TopLayer","0603_R","","25.5270","-31.8770","90","贴片电阻","Standard","0.0000","25.5270","-31.8770","25.5270","-32.6470","Fitted"
"R61","120R ±1%","TopLayer","0603_R","","34.5440","-37.7350","90","贴片电阻","Standard","0.0000","34.5440","-37.7350","34.5440","-38.5050","Fitted"
"R60","620R ±1%","TopLayer","0603_R","","27.8130","-31.8770","90","贴片电阻","Standard","0.0000","27.8130","-31.8770","27.8130","-32.6470","Fitted"
"R59","2K2 ±1%","TopLayer","0402_R","","75.6920","-12.0650","270","贴片电阻","Standard","0.0000","75.6920","-12.0650","75.6920","-11.6400","Fitted"
"R58","2K2 ±1%","TopLayer","0402_R","","77.3430","-12.0650","270","贴片电阻","Standard","0.0000","77.3430","-12.0650","77.3430","-11.6400","Fitted"
"R57","4K7 ±1%","TopLayer","0402_R","","30.2260","-5.1630","90","贴片电阻","Standard","0.0000","30.2260","-5.1630","30.2260","-5.5880","Fitted"
"R56","680K ±1%","TopLayer","0603_R","","12.5290","-13.7160","180","贴片电阻","Standard","0.0000","12.5290","-13.7160","13.2990","-13.7160","Fitted"
"R55","330K ±1%","TopLayer","0603_R","","19.5580","-8.7630","360","贴片电阻","Standard","0.0000","19.5580","-8.7630","18.7880","-8.7630","Fitted"
"R54","100R ±1%","TopLayer","0603_R","","12.5290","-11.6840","180","贴片电阻","Standard","0.0000","12.5290","-11.6840","13.2990","-11.6840","Fitted"
"R53","3K3 ±1%","TopLayer","0402_R","","22.2250","-2.6670","180","贴片电阻","Standard","0.0000","22.2250","-2.6670","22.6500","-2.6670","Fitted"
"R52","680K ±1%","TopLayer","0402_R","","24.5110","-8.6800","270","贴片电阻","Standard","0.0000","24.5110","-8.6800","24.5110","-8.2550","Fitted"
"R51","680K ±1%","TopLayer","0402_R","","24.5110","-6.2670","270","贴片电阻","Standard","0.0000","24.5110","-6.2670","24.5110","-5.8420","Fitted"
"R50","1K ±1%","TopLayer","0402_R","","22.6060","-8.1280","360","贴片电阻","Standard","0.0000","22.6060","-8.1280","22.1810","-8.1280","Fitted"
"R49","2K2 ±1%","TopLayer","0402_R","","43.6880","-40.3860","180","贴片电阻","Standard","0.0000","43.6880","-40.3860","44.1130","-40.3860","Fitted"
"R48","2K2 ±1%","TopLayer","0402_R","","43.6050","-36.3220","180","贴片电阻","Standard","0.0000","43.6050","-36.3220","44.0300","-36.3220","Fitted"
"R47","4K7 ±1%","TopLayer","0402_R","","45.4660","-38.2710","270","贴片电阻","Standard","0.0000","45.4660","-38.2710","45.4660","-37.8460","Fitted"
"R46","100K ±1%","TopLayer","0402_R","","45.9300","-36.3220","180","贴片电阻","Standard","0.0000","45.9300","-36.3220","46.3550","-36.3220","Fitted"
"R45","4K7 ±1%","TopLayer","0402_R","","43.6880","-41.9100","180","贴片电阻","Standard","0.0000","43.6880","-41.9100","44.1130","-41.9100","Fitted"
"R44","100K ±1%","TopLayer","0402_R","","46.0180","-40.3860","180","贴片电阻","Standard","0.0000","46.0180","-40.3860","46.4430","-40.3860","Fitted"
"R43","4K7 ±1%","TopLayer","0402_R","","90.8050","-29.4640","180","贴片电阻","Standard","0.0000","90.8050","-29.4640","91.2300","-29.4640","Fitted"
"R42","120R ±1%","TopLayer","RS_1/4W-V3","直插色环电阻，脚距3mm，直径2.3mm","19.3280","-24.8920","180","贴片电阻","Standard","0.0000","20.8280","-24.8920","20.8280","-24.8920","Fitted"
"R41","47K ±1%","TopLayer","0402_R","","28.5750","-18.6690","360","贴片电阻","Standard","0.0000","28.5750","-18.6690","28.1500","-18.6690","Fitted"
"R40","10K ±1%","TopLayer","0402_R","","28.1940","-20.7010","270","贴片电阻","Standard","0.0000","28.1940","-20.7010","28.1940","-20.2760","Fitted"
"R39","47K ±1%","TopLayer","0402_R","","16.9740","-26.7970","180","贴片电阻","Standard","0.0000","16.9740","-26.7970","17.3990","-26.7970","Fitted"
"R38","2K2±1%","TopLayer","0402_R","","31.1590","-18.6690","360","贴片电阻","Standard","0.0000","31.1590","-18.6690","30.7340","-18.6690","Fitted"
"R37","1K8 ±1%","TopLayer","0402_R","","19.3870","-28.3210","180","贴片电阻","Standard","0.0000","19.3870","-28.3210","19.8120","-28.3210","Fitted"
"R36","47K ±1%","TopLayer","0402_R","","16.9350","-28.3210","180","贴片电阻","Standard","0.0000","16.9350","-28.3210","17.3600","-28.3210","Fitted"
"R35","45K3 ±1%","TopLayer","0402_R","","14.4340","-28.3210","180","贴片电阻","Standard","0.0000","14.4340","-28.3210","14.8590","-28.3210","Fitted"
"R34","330K ±1%","TopLayer","0402_R","","12.0650","-28.3210","180","贴片电阻","Standard","0.0000","12.0650","-28.3210","12.4900","-28.3210","Fitted"
"R33","220R ±1%","TopLayer","0402_R","","60.7060","-37.7190","360","贴片电阻","Standard","0.0000","60.7060","-37.7190","60.2810","-37.7190","Fitted"
